signal,system,device,interface,unit,min,max,priority,safety,ecu,ecu_pin
UNKN_1_CMD,Rear_Hydraulic_Hitch_System,Hitch_Raise_Solenoid_Valve,PWM,PERCENT,0,100,HIGH,QM,AEC_CABIN_01,AEC_CABIN_01:X1:18
UNKN_2610160_GND,Example_HYDAC_Coil_Topologies_System,HYDAC_DIR_12DG_32_1329_UL_V0_PN2610160_HS_GND,GROUND,NONE,0,0,MEDIUM,QM,AEC_DISPLAY_01,AEC_DISPLAY_01:X1000:11
UNKN_2610160_SWT,Example_HYDAC_Coil_Topologies_System,HYDAC_DIR_12DG_32_1329_UL_V0_PN2610160_HS_GND,DIGITAL,BOOLEAN,0,1,MEDIUM,QM,AEC_CABIN_01,AEC_CABIN_01:X1:23
UNKN_4059964_CMD,Example_HYDAC_Coil_Topologies_System,HYDAC_PROP_12PG_5_6_32_1329_PN4059964_HS_LS,PWM,PERCENT,0,100,MEDIUM,QM,AEC_CABIN_01,"AEC_CABIN_01:X1:33, AEC_CABIN_01:X1:49"
UNKN_424A_0M_AI,Example_System_with_selected_elobau_angle_sensors,elobau_424A_4_20MA_120deg,CURRENT,DEGREE,0,120,HIGH,QM,unmapped,—
UNKN_424A_GND,Example_System_with_selected_elobau_angle_sensors,elobau_424A_4_20MA_120deg,GROUND,NONE,0,0,HIGH,QM,AEC_ENGINE_01,AEC_ENGINE_01:X1:14
UNKN_424A_PWR,Example_System_with_selected_elobau_angle_sensors,elobau_424A_4_20MA_120deg,POWER,VOLT,9,32,HIGH,QM,AEC_ENGINE_01,AEC_ENGINE_01:X1:6
UNKN_424C_2V_PWR,Example_System_with_selected_elobau_angle_sensors,elobau_424C_360deg_CANopen,POWER,VOLT,9,32,HIGH,QM,AEC_ENGINE_01,AEC_ENGINE_01:X1:9
UNKN_424C_CAN,Example_System_with_selected_elobau_angle_sensors,elobau_424C_360deg_CANopen,CAN,NONE,0,1,HIGH,QM,AEC_CABIN_01,"AEC_CABIN_01:X2:15, AEC_CABIN_01:X2:16"
UNKN_424C_GND,Example_System_with_selected_elobau_angle_sensors,elobau_424C_360deg_CANopen,GROUND,NONE,0,0,HIGH,QM,AEC_ENGINE_01,"AEC_ENGINE_01:X1:17, AEC_ENGINE_01:X1:18"
UNKN_424R_1_AI,Example_System_with_selected_elobau_angle_sensors,elobau_424R_0_5_4_5V_parallel_120deg,ANALOG,DEGREE,0,120,HIGH,AgPL_B,AEC_CABIN_01,AEC_CABIN_01:X1:81
UNKN_424R_1_GND,Example_System_with_selected_elobau_angle_sensors,elobau_424R_0_5_4_5V_parallel_120deg,GROUND,NONE,0,0,HIGH,AgPL_B,AEC_ENGINE_01,AEC_ENGINE_01:X1:15
UNKN_424R_1_PWR,Example_System_with_selected_elobau_angle_sensors,elobau_424R_0_5_4_5V_parallel_120deg,POWER,VOLT,9,32,HIGH,AgPL_B,AEC_ENGINE_01,AEC_ENGINE_01:X1:7
UNKN_424R_2_AI,Example_System_with_selected_elobau_angle_sensors,elobau_424R_0_5_4_5V_parallel_120deg,ANALOG,DEGREE,0,120,HIGH,AgPL_B,AEC_CABIN_01,AEC_CABIN_01:X1:82
UNKN_424R_2_GND,Example_System_with_selected_elobau_angle_sensors,elobau_424R_0_5_4_5V_parallel_120deg,GROUND,NONE,0,0,HIGH,AgPL_B,AEC_ENGINE_01,AEC_ENGINE_01:X1:16
UNKN_424R_2_PWR,Example_System_with_selected_elobau_angle_sensors,elobau_424R_0_5_4_5V_parallel_120deg,POWER,VOLT,9,32,HIGH,AgPL_B,AEC_ENGINE_01,AEC_ENGINE_01:X1:8
