System,Scope,Owner,DeviceType,Signal,CleanName,Type,Interface,Unit,Range,Safety,Priority,ECU,Connector,Pin,PinRole,PinInterface,CAN
"HYDAC_Selected_Sensor_Examples","device","HYDAC_HAT1200_Angle_Analogue_4_20mA_3Pin_MappingReady","sensor","HAT1200_SUPPLY_9_36V","HYDD_SUPPLY_6V_PWR","U1","POWER","VOLT","9..36","AgPL_B","MEDIUM","AEC_CABIN_01","X1",4,"SUPPLY","POWER",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_HAT1200_Angle_Analogue_4_20mA_3Pin_MappingReady","sensor","HAT1200_0V","HYDD_HAT1200_0_GND","U1","GROUND","NONE","0..0","AgPL_B","MEDIUM","AEC_CABIN_01","X1",12,"GROUND","GROUND",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_HAT1200_Angle_Analogue_4_20mA_3Pin_MappingReady","sensor","HAT1200_Angle_4_20mA","HYDD_Angle_0m_AI","F32","CURRENT","DEGREE","0..360","AgPL_B","MEDIUM","VALIDATION_IO_ECU","T1",82,"INPUT","CURRENT",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_HAT3800_Angle_CANopen_M12_5Pin","sensor","CAN_SHLD","HYDD_CAN_GND","U1","GROUND","NONE","0..0","QM","MEDIUM","AEC_CABIN_01","X1",13,"GROUND","GROUND",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_HAT3800_Angle_CANopen_M12_5Pin","sensor","CAN_VPLUS_9_36V","HYDD_VPLUS_6V_PWR","U1","POWER","VOLT","9..36","QM","MEDIUM","AEC_CABIN_01","X1",5,"SUPPLY","POWER",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_HAT3800_Angle_CANopen_M12_5Pin","sensor","CAN_GND","HYDD_CAN_GND","U1","GROUND","NONE","0..0","QM","MEDIUM","AEC_CABIN_01","X1",14,"GROUND","GROUND",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_HAT3800_Angle_CANopen_M12_5Pin","sensor","CAN_H","HYDD_CAN_CAN","U1","CAN","NONE","0..0","QM","MEDIUM","AEC_CABIN_01","X2",9,"INOUT","CAN",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_HAT3800_Angle_CANopen_M12_5Pin","sensor","CAN_L","HYDD_CAN_CAN","U1","CAN","NONE","0..0","QM","MEDIUM","AEC_CABIN_01","X2",10,"INOUT","CAN",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_HDA4300_Pressure_40bar_A_4_20mA_2Wire","sensor","HDA4300_LOOP_SUPPLY_PLUS","HYDD_LOOP_PWR","U1","POWER","VOLT","8..30","QM","MEDIUM","AEC_CABIN_01","X1",6,"SUPPLY","POWER",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_HDA4300_Pressure_40bar_A_4_20mA_2Wire","sensor","HDA4300_Pressure_4_20mA","HYDD_Pressure_0m_AI","F32","CURRENT","BAR","0..40","QM","MEDIUM","VALIDATION_IO_ECU","T1",83,"INPUT","CURRENT",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_HDA4300_Pressure_40bar_B_0_10V_3Wire","sensor","HDA4300_SUPPLY_24V","HYDD_SUPPLY_4V_PWR","U1","POWER","VOLT","12..30","QM","MEDIUM","AEC_CABIN_01","X1",7,"SUPPLY","POWER",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_HDA4300_Pressure_40bar_B_0_10V_3Wire","sensor","HDA4300_0V","HYDD_HDA4300_0_GND","U1","GROUND","NONE","0..0","QM","MEDIUM","AEC_CABIN_01","X1",15,"GROUND","GROUND",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_HDA4300_Pressure_40bar_B_0_10V_3Wire","sensor","HDA4300_Pressure_0_10V","HYDD_Pressure_0V_AI","F32","ANALOG","BAR","0..40","QM","MEDIUM","AEC_CABIN_01","X1",76,"INPUT","RESISTANCE",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_ETS4100_Temperature_A_4_20mA_2Wire_Probe_050","sensor","ETS4100_LOOP_SUPPLY_PLUS","HYDD_LOOP_PWR","U1","POWER","VOLT","8..32","QM","MEDIUM","AEC_CABIN_01","X1",8,"SUPPLY","POWER",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_ETS4100_Temperature_A_4_20mA_2Wire_Probe_050","sensor","ETS4100_Temperature_4_20mA","HYDD_Temperature_0m_AI","F32","CURRENT","CELSIUS","-25..100","QM","MEDIUM","VALIDATION_IO_ECU","T1",84,"INPUT","CURRENT",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_ETS4100_Temperature_B_0_10V_3Wire_Probe_050","sensor","ETS4100_SUPPLY_24V","HYDD_SUPPLY_4V_PWR","U1","POWER","VOLT","12..32","QM","MEDIUM","AEC_DISPLAY_01","X1000",1,"SUPPLY","POWER",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_ETS4100_Temperature_B_0_10V_3Wire_Probe_050","sensor","ETS4100_0V","HYDD_ETS4100_0_GND","U1","GROUND","NONE","0..0","QM","MEDIUM","AEC_CABIN_01","X1",16,"GROUND","GROUND",""
"HYDAC_Selected_Sensor_Examples","device","HYDAC_ETS4100_Temperature_B_0_10V_3Wire_Probe_050","sensor","ETS4100_Temperature_0_10V","HYDD_Temperature_0V_AI","F32","ANALOG","CELSIUS","-25..100","QM","MEDIUM","AEC_CABIN_01","X1",77,"INPUT","RESISTANCE",""
