system,source_file,total_pins,AI,DI,FI,SENT,CURR,RES,TEMP,PWM,PWM_HS,PWM_LS,DO,DO_HS,DO_LS,CAN,LIN,ETH,SUP,SENS_SUP,GND,INOUT,OTHER
BRAKE_SYSTEM,BRAKE_SYSTEM.json,8,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0
eec_system_viewer_config.v4,eec_system_viewer_config.v4.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELO_Ang_S_424A_Ana,ELO_Ang_S_424A_Ana.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELO_Ang_S_424C_CAN,ELO_Ang_S_424C_CAN.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELO_Ang_S_424D_Ana,ELO_Ang_S_424D_Ana.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELO_Ang_S_424R_Red,ELO_Ang_S_424R_Red.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELO_Cmp_Joy_J2_CAN,ELO_Cmp_Joy_J2_CAN.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELO_Finger_Joy_J3_CAN,ELO_Finger_Joy_J3_CAN.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELO_Float_Sw_204KS_Dig,ELO_Float_Sw_204KS_Dig.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELO_Hand_Throt_351H_Ana,ELO_Hand_Throt_351H_Ana.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELO_Imm_Float_Sw_Dig,ELO_Imm_Float_Sw_Dig.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELO_Lvr_Sw_351RHS_Dig,ELO_Lvr_Sw_351RHS_Dig.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELO_Mag_120,ELO_Mag_120.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELO_Mag_122,ELO_Mag_122.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELO_Mag_12261,ELO_Mag_12261.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELO_Mag_125,ELO_Mag_125.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELO_Mag_126,ELO_Mag_126.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELO_Mag_128,ELO_Mag_128.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELO_PTO_Sw_145PTO_Dig,ELO_PTO_Sw_145PTO_Dig.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELO_PTO_Sw_151PTO_Dig,ELO_PTO_Sw_151PTO_Dig.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELO_Rock_Sw_145DW_Dig,ELO_Rock_Sw_145DW_Dig.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELO_Tilt_S_N6_Sta_Ana,ELO_Tilt_S_N6_Sta_Ana.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELO_Tilt_S_N6_Sta_CAN,ELO_Tilt_S_N6_Sta_CAN.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELO_Tilt_S_N7_Dyn_CAN,ELO_Tilt_S_N7_Dyn_CAN.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELO_Uni_Sw_151U_A_Dig,ELO_Uni_Sw_151U_A_Dig.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELO_Uni_Sw_151U_B_Dig,ELO_Uni_Sw_151U_B_Dig.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELO_Vane_Sw_1405_Dig,ELO_Vane_Sw_1405_Dig.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELO_Vane_Sw_147_Dig,ELO_Vane_Sw_147_Dig.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Example_HYDAC_Coil_Topologies_System,HYDAC_Example_Coils.eec-system-1.4.json,4,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
Example_System_with_Bosch_Rexroth_Coil_Actuators,Bosch_Rexroth_Example_Coils.eec-system-1.4.json,8,0,0,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,2,0,0
Example_System_with_selected_elobau_angle_sensors,Elobau_Example_Angle_Sensors.eec-system-1.4.json,26,3,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,8,0,9,0,0
HYD_Dir_Vlv_Coil_12V_DC,HYD_Dir_Vlv_Coil_12V_DC.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
